source_term	jurisdiction	replacement_mode	local_lt	eu_fallback	scope	reason	source_ref	notes
ATMIST	uk	replace_lt	MIST formatas		all	LT perdavimo kontekste vietoje UK `ATMIST` vartoti oficialioje SAM metodikoje fiksuotą `MIST`.	research/011-domestic-abuse.md	Originalų akronimą palikti tik `Originalo kontekstas` bloke, jei jis aiškiai reikalingas.
Domestic Abuse Act 2021	uk	original_context_callout	remtis LT smurto artimoje aplinkoje teise ir SAM rekomendacijomis		all	JK teisės aktas negali būti rodomas kaip LT norminė tvarka.	research/011-domestic-abuse.md	Leisti tik `Originalo kontekstas` bloke.
DASH risk assessment	uk	original_context_callout	remtis vietine rizikos vertinimo ir nukreipimo tvarka		all	JK rizikos vertinimo įrankis nėra LT privalomas standartas.	research/011-domestic-abuse.md	Leisti tik `Originalo kontekstas` bloke.
specialist domestic abuse service	uk	replace_lt	specializuotos kompleksinės pagalbos tarnyba		all	JK pagalbos tarnybos etiketė LT tekste lokalizuojama į LT pagalbos tinklo struktūrą.	research/011-domestic-abuse.md	Galutinį nukreipimo wording derinti su vietine įstaigos tvarka.
Women’s Aid	uk	original_context_callout	remtis LT pagalbos maršrutu (`112`, policija, specializuotos kompleksinės pagalbos centrai)		all	JK pagalbos organizacija negali būti rodoma kaip LT praktinis resursas.	research/011-domestic-abuse.md	Leisti tik `Originalo kontekstas` bloke.
Mankind Initiative	uk	original_context_callout	remtis LT pagalbos maršrutu (`112`, policija, specializuotos kompleksinės pagalbos centrai)		all	JK pagalbos organizacija negali būti rodoma kaip LT praktinis resursas.	research/011-domestic-abuse.md	Leisti tik `Originalo kontekstas` bloke.
LGBT+ Domestic Abuse Helpline	uk	original_context_callout	remtis LT pagalbos maršrutu (`112`, policija, specializuotos kompleksinės pagalbos centrai)		all	JK pagalbos organizacija negali būti rodoma kaip LT praktinis resursas.	research/011-domestic-abuse.md	Leisti tik `Originalo kontekstas` bloke.
Refuge	uk	original_context_callout	remtis LT pagalbos maršrutu (`112`, policija, specializuotos kompleksinės pagalbos centrai)		all	JK pagalbos organizacija negali būti rodoma kaip LT praktinis resursas.	research/011-domestic-abuse.md	Leisti tik `Originalo kontekstas` bloke.
Foreign and Commonwealth Office	uk	original_context_callout	remtis LT instituciniu ir pagalbos maršrutu pagal kontekstą		all	JK institucinis ir pagalbos kontekstas negali likti kaip LT praktinis resursas.	research/011-domestic-abuse.md	Leisti tik `Originalo kontekstas` bloke.
NHS complaints procedure	uk	omit_nontransferable	remtis LT pacientų teisių, skundų ir vietinės įstaigos dokumentavimo tvarka		all	JK skundų nagrinėjimo procedūra negali būti rodoma kaip LT norminė tvarka.	research/011-domestic-abuse.md	Pagrindiniame LT tekste keisti bendru LT pacientų teisių ir įstaigos tvarkos sluoksniu.
local authority	uk	omit_nontransferable	remtis kompetentingos savivaldybės ar kitos atsakingos institucijos logika pagal kontekstą		all	JK `local authority` modelis negali būti rodomas kaip LT savivaldos ar safeguarding standartas.	research/011-domestic-abuse.md	Priklausomai nuo sakinio gali reikėti savivaldybės, VTAS ar kitos kompetentingos institucijos formuluotės.
