domain	primary_lt_sources	secondary_lt_sources	eu_fallback	use_for	notes
paramediko_kompetencija_ir_gmp	SAM; e-Seimas/TAR; Greitosios medicinos pagalbos tarnyba	VASPVT; universitetinės ligoninės	ERC; specialybinės ES gairės	paramediko kompetencija; GMP organizavimas; vietiniai algoritmai; aktyvavimo tvarka	Pirmas norminis sluoksnis skubiajai medicinai Lietuvoje.
vaistu_registracija_ir_produkto_informacija	VVKT registruotų vaistinių preparatų paieška; VVKT registracijos pažymėjimo priedai	SAM	EMA; ES SmPC / product information	indikacijos; kontraindikacijos; dozės; pakuotės lapelis; SmPC	Jei vaisto nėra LT rinkoje arba LT informacija nepakankama, pereiti į EMA / ES sluoksnį.
kompensavimas_ir_rinkos_prieinamumas	VLK kompensuojamieji vaistai; VLK kainynai	VVKT	EMA	kompensavimas; realus LT prieinamumas; rinkos statusas	Naudoti, kai svarbu ne tik veiklioji medžiaga, bet ir paciento prieiga Lietuvoje.
farmakologija_ir_racionalus_skyrimas	SAM racionalus vaistų skyrimas ir vartojimas; VVKT	LSMU; VU; universitetinės ligoninės	EMA; ESC; ESMO; kitos ES specialybinės gairės	vaistų parinkimas; saugumas; vartojimo principai; racionalus skyrimas	Fundamentinė farmakologija gali remtis universaliu mokslu, bet norminiai sprendimai turi eiti per LT/EU šaltinius.
infekcijos_ir_visuomenes_sveikata	NVSC; Higienos institutas	SAM	ECDC	infekcijų kontrolė; epidemiologija; visuomenės sveikata; antimikrobinis atsparumas	LT epidemiologijai pirmiausia naudoti HI ir NVSC.
klinikinės_metodikos_ir_specialybines_rekomendacijos	SAM metodikos ir rekomendacijos	LSMU; VU; Santaros klinikos; Kauno klinikos; profesinės draugijos	Europos specialybinės gairės	klinikiniai algoritmai; diferencinė diagnostika; gydymo taktikos	Jei LT metodika sena ar nėra pakankama, pereiti į ES sluoksnį ir tai pažymėti research faile.
teise_ir_reguliavimas	e-Seimas; TAR; SAM	VASPVT; VVKT	EUR-Lex; EMA	reglamentavimas; profesinės ribos; teisėtas vaistų skyrimas; dokumentavimas	Pirmiausia naudoti galiojančią suvestinę redakciją ir užrašyti datą.
terminija_ir_kalbos_forma	VLKK Terminų bankas	LSMU; VU; LT mokomoji literatūra	ES / tarptautinė nomenklatūra	LT terminų forma; santrumpos; kolokacijos	VLKK nėra klinikinis autoritetas, todėl medicininę reikšmę tikrinti kartu su klinikiniais šaltiniais.
anatomija_fiziologija_patofiziologija	LSMU; VU; LT akademinė mokomoji medžiaga	universitetiniai vadovėliai	Europos / tarptautiniai vadovėliai ir gairės	fundamentiniai biologiniai ir medicininiai principai	Šiose temose vietinis norminis sluoksnis dažnai silpnesnis, todėl atskirti LT terminiją nuo universalaus mokslinio turinio.
farmacijos_kokybe_ir_farmakopeja	VVKT; SAM	akademiniai farmacijos šaltiniai	EDQM; European Pharmacopoeia	vaistų kokybė; standartai; farmakopėja	Jei tema yra standartų ar kokybės lygmens, ES sluoksnis dažnai bus pagrindinis fallback.
