category	bad_en_shaped_lt	preferred_lt	notes	source_chapter
calque	pradinis valdymas	pradiniai veiksmai	Antraštėse ir santraukose rinktis konkretesnę LT formą.	001
calque	sprendimas dėl gaivinimo turi būti priimamas	šį klausimą reikia aptarti iš anksto	Teisiniuose ir klinikiniuose sakiniuose vengti pasyvaus administracinio karkaso.	001
calque	eskaluoti pagalbą	kviesti papildomą pagalbą	Konkretus veiksmas aiškesnis už vadybinę kalkę.	001
collocation	kompresijų kokybė	kokybiški krūtinės ląstos paspaudimai	Jei įmanoma, konkretinti abstraktų terminą.	001
collocation	pažangūs kvėpavimo takai	supraglotinis prietaisas arba endotrachėjinis vamzdelis	Jei reikia, įvardyti realią priemonę, ne abstrakciją.	001
syntax	prioritetas yra kuo greitesnis defibriliatoriaus prijungimas	kuo greičiau prijunkite defibriliatorių	Verstinį prioritetų karkasą keisti tiesioginiu nurodymu.	001
calque	galvokite apie sepsį	įtarkite sepsį	Klinikinėje lietuvių kalboje „įtarkite“ skamba natūraliau.	002
calque	tolesni veiksmai priklauso nuo vyraujančios problemos	toliau veikite pagal vyraujančią problemą	Trumpesnė ir aktyvesnė formuluotė.	002
nominalization	pirminio gydymo tikslas yra	pirminio gydymo tikslas –	Apibrėžimuose ir principų blokuose vengti perteklinio „yra“.	002
calque	reikia svarstyti endotrachėjinę intubaciją	apsvarstykite endotrachėjinę intubaciją	Veiksmų sekoje rinktis tiesioginę aktyvią formą.	002
collocation	normalus spaudimas nereiškia pakankamo organų aprūpinimo krauju	normalus spaudimas dar negarantuoja pakankamos organų perfuzijos	Hemodinaminėje prozoje išlaikyti LT medicininę kolokaciją.	002
syntax	kardiogeninis šokas yra viena dažniausių ... ir pasižymi	kardiogeninis šokas dažnai ... ir jį lydi	Apibrėžimus trumpinti iki natūralaus LT ritmo.	002
