candidate_id	candidate_kind	source_term	source_expansion	chapter_slug	source_context	proposed_lt	status	scope	candidate_origin	reason	banned_lt	source_ref	notes
003-guideline-developers-and-contributors-acronym-aace	acronym	AACE		003-guideline-developers-and-contributors	Cathryn James, Senior Clinical Support Manager for NASMeD and JRCALC, AACE		rejected	book	research_risky_term | source_acronym	Užfiksuota `## Rizikingi terminai`, bet nėra aktyvioje akronimų bazėje. | Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		Originalo JK organizacinė santrumpa. Nenaudoti kaip LT akronimų bazės įrašo; laikyti tik originalo kontekste.	
003-guideline-developers-and-contributors-term-nasmed	term	NASMeD		003-guideline-developers-and-contributors	Cathryn James, Senior Clinical Support Manager for NASMeD and JRCALC, AACE		rejected	book	research_risky_term	Užfiksuota `## Rizikingi terminai`, bet nėra aktyvioje terminų bazėje.			Originalo JK organizacinė santrumpa. Nenaudoti kaip LT terminų bazės įrašo; laikyti tik originalo kontekste.
004-guideline-development-methodology-acronym-aace	acronym	AACE		004-guideline-development-methodology	Feedback is welcome via JRCALC@AACE.org		rejected	book	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			Originalo JK organizacinė santrumpa. Nenaudoti kaip LT akronimų bazės įrašo; laikyti tik originalo kontekste.
005-update-analysis-what-s-changed-acronym-abd	acronym	ABD	Acute Behavioural Disturbance	005-update-analysis-what-s-changed	| Abdominal Pain | April 2025 | Revised and updated. The common causes table for adults and children has been revised and symptom indicators added to aid working diagnosis. Includes diagram of abdominal regions. |	Acute Behavioural Disturbance (ABD)	original_context_only	book	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		https://e-seimas.lrs.lt/rs/actualedition/TAIS.348729/EEvxjRRsMN/format/ISO_PDF/	JK originalo santrumpa arba neperkeliamas originalo konteksto vienetas; į LT akronimų bazę nekelti.
005-update-analysis-what-s-changed-acronym-acs	acronym	ACS		005-update-analysis-what-s-changed	| Acute Coronary Syndrome | January 2023 | Small change to wording about health inequalities, regarding women and ACS. |	ūminis koronarinis sindromas	approved_global	global	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		https://lsmu.lt/cris/entities/publication/e2bd0013-f8f0-47fe-bdb2-867e6961a320	Patikrinta LT interneto medicinos ar norminiuose šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-acronym-adrt	acronym	ADRT		005-update-analysis-what-s-changed	| Termination of Resuscitation and Verification of Death in Adults | September 2022 | Reviewed and updated in line with RCUK. New section on advance care planning included and more guidance added to clarify decisions around ADRT, lasting power of attorney and DNACPR, expected and unexpected deaths. |		original_context_only	book	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			JK originalo santrumpa arba neperkeliamas originalo konteksto vienetas; į LT akronimų bazę nekelti.
005-update-analysis-what-s-changed-acronym-apgar	acronym	APGAR		005-update-analysis-what-s-changed	| Care of the Newborn | October 2024 | Removal of APGAR score. |	Apgar balas	approved_global	global	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		https://lsmu.lt/cris/entities/etd/2bf5cfaf-6daa-4c69-b89c-872245a89a79	Patikrinta LT interneto medicinos ar norminiuose šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-acronym-bm	acronym	BM	nce no absolute blood glucose threshold was identified in the literature, symptomatic patients with a blood glucose level	005-update-analysis-what-s-changed	| Glycaemic Emergencies in Adults and Children | July 2025 | Section 3.1, which covers hypoglycaemia in patients without diabetes, has been updated following a review of the evidence. Since no absolute blood glucose threshold was identified in the literature, symptomatic patients with a blood glucose level (BM) of less than 3.9 mmol/L can now be considered hypoglycaemic. |		not_acronym	book	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			Tai ne aktyvios LT akronimų bazės vienetas šiam projektui. Neperkelti į shared akronimų sluoksnį.
005-update-analysis-what-s-changed-acronym-cbrn	acronym	CBRN	Chemical Biological Radiological Nuclear	005-update-analysis-what-s-changed	| Atropine for CBRNE | October 2022 | Reviewed and updated. |	cheminiai, biologiniai, radiologiniai ir branduoliniai	approved_global	global	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		https://e-seimas.lrs.lt/rs/actualedition/TAIS.448965/TsnsHTCupm/	Patikrinta LT interneto medicinos ar norminiuose šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
005-update-analysis-what-s-changed-acronym-cbrne	acronym	CBRNE		005-update-analysis-what-s-changed	| Atropine for CBRNE | October 2022 | Reviewed and updated. |	CBRNE	localization_only	book	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.			Santrumpa paliekama tik lokaliame specialiųjų situacijų wording sluoksnyje; į shared akronimų bazę nepromuoti be atskiro LT terminijos pagrindo.
005-update-analysis-what-s-changed-acronym-crb-65	acronym	CRB-65		005-update-analysis-what-s-changed	| Dyspnoea | March 2024 | Fully reviewed and revised in line with NICE guidance. Includes CRB-65 score. |	CRB-65 skalė	approved_global	global	source_acronym	Aptikta source tekste kaip santrumpa, bet nėra aktyvioje akronimų bazėje.		https://epublications.vu.lt/object/elaba%3A109927092/	Patikrinta LT interneto medicinos ar norminiuose šaltiniuose 2026-03-28; užrakinta bendroje bazėje.
