acronym	lt	en	policy	notes	must_expand_first	allowed_in_headings	ambiguous_context	preferred_lt_context
CPR	kardiopulmoninis gaivinimas	cardiopulmonary resuscitation	pirmą kartą išskleisti	Po pirmos pilnos formos galima vartoti CPR.	yes	yes		Gaivinimo algoritmo ir klinikinio valdymo kontekstas.
PEA	elektrinė veikla be pulso	pulseless electrical activity	pirmą kartą išskleisti	Lietuviškame tekste prioritetas pilnai LT formai su PEA skliaustuose.	yes	yes	Gali būti paliekamas be LT formos, jei mechaniškai kopijuojamas iš EN.	Nedefibriliuotino ritmo kontekstas.
ROSC	spontaninės kraujotakos atsikūrimas	return of spontaneous circulation	pirmą kartą išskleisti	Po pirmos pilnos formos galima vartoti ROSC.	yes	yes		Pogaiviniminės priežiūros kontekstas.
VF	skilvelių virpėjimas	ventricular fibrillation	vengti be būtinybės	Jei nėra vietos stokos, geriau pilna LT forma.	no	yes	Gali būti supainiotas su VT, jei ritmai pateikiami sutrumpintai.	Defibriliuotinų ritmų kontekstas.
VT	skilvelinė tachikardija	ventricular tachycardia	vengti be būtinybės	Jei reikia tikslumo, išskleisti pilną LT formą.	no	yes	Gali būti supainiotas su VF ar pVT.	Aritmijų ir defibriliuotino ritmo kontekstas.
EKG	elektrokardiograma	electrocardiogram	galima vartoti	Nusistovėjęs trumpinys LT medicinoje.	no	yes		Monitoravimo ir diagnostikos kontekstas.
SpO2	deguonies įsotinimas	pulse oximetry saturation	pirmą kartą paaiškinti	Trumpinys gali likti po pirmo aiškaus konteksto.	yes	yes	Gali būti vartojamas be paaiškinimo, jei pastraipa labai tanki.	Deguonies saturacijos kontekstas.
PaCO2	arterinio kraujo CO2 dalinis slėgis	partial pressure of arterial carbon dioxide	pirmą kartą išskleisti	Naudoti klinikiniame kraujo dujų kontekste.	yes	yes		Kraujo dujų ir ventiliacijos kontekstas.
PETCO2	galinio iškvėpimo CO2 dalinis slėgis	end-tidal carbon dioxide	pirmą kartą išskleisti	Naudoti kapnografijos kontekste.	yes	yes		Kapnografijos kontekstas.
ABCDE	ABCDE įvertinimas	airway breathing circulation disability exposure	galima vartoti	Jei auditorijai gali būti neaišku, vieną kartą paaiškinti, ką reiškia santrumpa.	no	yes		Struktūruoto paciento vertinimo kontekstas.
GMP	greitoji medicinos pagalba	emergency medical services	galima vartoti	Lietuvos kontekste nusistovėjęs trumpinys.	no	yes		Lietuvos sistemos ir organizacinio reagavimo kontekstas.
ERC	Europos gaivinimo taryba	European Resuscitation Council	galima vartoti	Pirmą kartą galima išskleisti bibliografiniame ar gairių kontekste.	no	no		Gairių ir bibliografijos kontekstas.
SAM	Sveikatos apsaugos ministerija	Ministry of Health	galima vartoti	Lietuvos teisės aktų ir metodikų kontekstas.	no	no		Teisės aktų ir metodikų kontekstas.
AVPU	budrus / reaguoja į balsą / reaguoja į skausmą / nereaguoja	alert / voice / pain / unresponsive	galima vartoti	Lietuvos praktikoje tinkama greitam sąmonės įvertinimui.	yes	yes	Gali būti painiojama su JK ACVPU.	Sąmonės įvertinimo kontekstas.
GKS	Glazgo komos skalė	Glasgow Coma Scale	galima vartoti	Detalesniam neurologiniam įvertinimui.	yes	yes		Neurologinio įvertinimo kontekstas.
NEWS2	nacionalinis ankstyvojo perspėjimo balas 2	National Early Warning Score 2	riboti	JK mokomasis kontekstas; ne Lietuvos nacionalinis standartas.	yes	yes	JK sistemos trumpinys; neturi būti pateikiamas kaip Lietuvos standartas.	Originalo JK konteksto paaiškinimas.
MAP	vidutinis arterinis spaudimas	mean arterial pressure	galima vartoti	Pirmą kartą paaiškinti.	yes	yes		Hemodinamikos kontekstas.
JVP	jungo veninis spaudimas	jugular venous pressure	galima vartoti	Pirmą kartą paaiškinti.	yes	yes		Hemodinaminio vertinimo kontekstas.
ICU	intensyviosios terapijos skyrius	intensive care unit	riboti	Pagrindiniame LT tekste pirmenybė LT formai.	yes	no	Angliškas trumpinys neturi pakeisti LT skyriaus pavadinimo.	Intensyviosios terapijos kontekstas.
CVP	centrinis veninis spaudimas	central venous pressure	galima vartoti	Pirmą kartą paaiškinti, jei vartojama tekste.	yes	yes		Hemodinamikos ir monitoravimo kontekstas.
